system:index,GID_0,GID_1,NAME_0,NAME_1,VARNAME_1,tier0_urban,tier1_urban,tier2_urban,tier3_urban,tier4_urban,.geo
000003a19af91805c947,COD,COD.24_1,Democratic Republic of the Congo,Tanganyika,,807139.0817970671,156805.23011044867,83728.40503356204,107168.15220697453,142397.26832528066,
0000724d569cc2958259,COD,COD.22_1,Democratic Republic of the Congo,Sud-Kivu,,1151248.1878533536,627331.8210046802,293927.2943056797,210590.8906912046,129594.36525319223,
00009ac59005d985d5b1,TZA,TZA.8_1,Tanzania,Kigoma,,660699.271431204,131902.74567778362,168924.59348440485,208041.04839276976,2534.780669933891,
00007f8a14835afca538,TZA,TZA.7_1,Tanzania,Katavi,,18793.597073628745,12933.1973248625,31721.382644194273,52074.88649810464,0.0,
0000f0e4681f520da6a1,TZA,TZA.26_1,Tanzania,Tabora,,35977.529213947746,83324.3351117002,76827.3021857652,180537.98685989616,32051.511013912528,
00006bc6f645cf5ad9fc,TZA,TZA.23_1,Tanzania,Shinyanga,,37309.91816746736,38870.12853701077,36169.27291403146,115827.26268012752,69008.9811255225,
0000742d1ca4e0ebaf73,TZA,TZA.4_1,Tanzania,Geita,,74820.73941257465,119795.87475599279,125394.87766933699,108338.31340753754,22387.969713304195,
000046e53b678c764914,BDI,BDI.11_1,Burundi,Makamba,,165767.2899557605,39116.707029156525,15857.102695195927,3832.745361507713,0.0,
00001c14bdb39ee12671,BDI,BDI.4_1,Burundi,Bururi,,109395.05054450386,54307.10806898198,18587.59912396832,26351.31381123084,0.0,
0000779bd077040e0771,BDI,BDI.16_1,Burundi,Rutana,,119215.97370671952,14089.363372069423,7878.935198793461,968.3536806138736,0.0,
0000f7a54aa3eb909d18,BDI,BDI.7_1,Burundi,Gitega,Kitega,184062.6393734244,49924.60964329327,43569.039949047336,52291.42733628822,5505.113350962493,
000001a4eb626f2cba4d,BDI,BDI.3_1,Burundi,Bujumbura Rural,Usumbura,115299.28992995227,107755.13825541177,31769.776220798296,7620.7363808608925,1128.7085753595757,
0000c96090c38ddbe30c,BDI,BDI.14_1,Burundi,Mwaro,,63023.040442616926,13297.663888224399,0.0,0.0,0.0,
0000e7a72cc1335d7190,BDI,BDI.17_1,Burundi,Ruyigi,,99676.49344195664,15281.476486193955,5415.950665711535,5936.306710064216,0.0,
000000c3a28e31b28b42,BDI,BDI.8_1,Burundi,Karuzi,Karusi,74319.81563968978,37361.29255129961,0.0,0.0,0.0,
000043fcbfcf17e7bad9,BDI,BDI.12_1,Burundi,Muramvya,Muramviya,81333.3594408673,28700.964536019317,7697.217190507758,0.0,0.0,
0000226ce62a9a7560e8,BDI,BDI.2_1,Burundi,Bujumbura Mairie,,14500.785244038734,48867.97898594364,67785.280079551,573299.9976519295,217325.75476764247,
00005b6592778c142aeb,BDI,BDI.1_1,Burundi,Bubanza,,124028.41537074292,57880.25081093567,16479.21417351615,49.86146497281695,0.0,
0000ce08c68464814b04,BDI,BDI.6_1,Burundi,Cibitoke,,130210.22106950692,96978.71365222541,36861.06258653848,0.0,0.0,
00008abae843b0ab6a2b,RWA,RWA.2_1,Rwanda,Amajyepfo,Southern Province|Province du Sud,573773.5126681557,232694.83942590462,90206.73652291921,111485.82161905845,53485.26626286165,
00008b4cd4f538f5418a,RWA,RWA.4_1,Rwanda,Iburengerazuba,Western Province|Province de l'Ouestern Province|Province de l'Ouest,963660.0486267407,311286.4846580169,145649.3446093615,88512.25122117205,52298.0314575831,
0000f3b36b9e49529868,BDI,BDI.10_1,Burundi,Kirundo,,225901.5125806973,35563.797490643454,20740.202989571226,0.0,0.0,
00007e9769c1ec649787,RWA,RWA.3_1,Rwanda,Iburasirazuba,Eastern Province|Province de l'Est,600133.4209897923,258673.3750106188,88413.38975767129,52506.183056865346,10910.277910292178,
0000f3d04971a1065e64,BDI,BDI.15_1,Burundi,Ngozi,,71082.94486844113,65192.860855295534,41700.238567886954,58613.61212323947,20276.36224797939,
000095b620263e188efb,BDI,BDI.13_1,Burundi,Muyinga,Muhinga,256083.72068064066,37446.97725136482,17207.32282822777,33785.211835488124,3042.079300631376,
0000534d5571cae55d5b,BDI,BDI.9_1,Burundi,Kayanza,,254364.74596940208,35007.31522254531,48534.244570138406,0.0,0.0,
000080f02f811727ce96,BDI,BDI.5_1,Burundi,Cankuzo,,38776.96345038584,6106.664135872501,7331.740178041394,0.0,0.0,
000024003b4e465058b1,TZA,TZA.6_1,Tanzania,Kagera,,123985.3030003769,118661.37154632306,136846.19189760057,117914.59923522154,1998.3017681314623,
0000c52cbf2f3ecac87f,TZA,TZA.16_1,Tanzania,Mwanza,,138526.92441750516,135626.0068372875,130074.0645381549,311602.134293991,368583.9445795136,
0000fb5e8ac97c0e7fb5,UGA,UGA.15_1,Uganda,Kalangala,,8606.209688549161,5584.317293419306,0.0,0.0,0.0,
00009669199b775efa2a,UGA,UGA.51_1,Uganda,Rakai,,39520.81848869867,25657.39838222214,15355.088515162879,26466.84895124152,617.9428279819699,
0000d646a4584366555b,UGA,UGA.6_1,Uganda,Bushenyi,,101235.9921932137,47467.65113921705,18617.059456726787,7210.689189045404,0.0,
0000c894277f1b3560f8,UGA,UGA.48_1,Uganda,Ntungamo,,71962.86126186461,30079.246882192732,4190.9866830895235,3820.1223572819467,1935.7387392121454,
000024ada22707cac234,RWA,RWA.5_1,Rwanda,Umujyi wa Kigali,Kigali City|Ville de Kigali,9254.424622068678,71084.85207370884,97270.71705671764,231409.88560635346,727470.359839807,
000077d1957907579660,RWA,RWA.1_1,Rwanda,Amajyaruguru,Northern Province|Province du Nord,649555.133920052,195678.802270809,52698.50711237153,55536.82472423115,30685.953230746964,
0000c98f86ec0c3c4a09,UGA,UGA.12_1,Uganda,Kabale,,71812.85728562367,31839.854726095,19249.101955585804,15444.694607982996,2208.673371339839,
00007e028c7763b121bf,UGA,UGA.52_1,Uganda,Rukungiri,,29646.880298986624,14801.147256166165,6108.019325628509,2266.7608111304753,0.0,
