system:index,GID_0,GID_1,NAME_0,NAME_1,VARNAME_1,pop14,pop15,pop16,pop17,pop18,pop19,.geo
0000b9090754a59a1575,CIV,CIV.9_1,C̫te d'Ivoire,Sassandra-Marahou̩,,1348824.2271430048,1382321.280121972,1417075.297891778,1452859.0812902185,1489603.0893904294,1527276.3838534905,
0000b2e1df0c1568c2c8,CIV,CIV.11_1,C̫te d'Ivoire,Vall̩e du Bandama,,812128.6252095167,832297.2395010501,853222.6737451301,874768.13106372,896891.7407843948,919574.8748975691,
0000656b0e363a060add,CIV,CIV.6_1,C̫te d'Ivoire,Lacs,,876304.280550004,898066.64981987,920645.6441210911,943893.6566755115,967765.5081257289,992241.0984480171,
0000701e3d5d38823afb,CIV,CIV.13_1,C̫te d'Ivoire,Yamoussoukro,,156276.19064671537,160157.19436246553,164183.83133816643,168329.77804041977,172586.97738443414,176951.84482180164,
000092c509a76a18ea90,CIV,CIV.7_1,C̫te d'Ivoire,Lagunes,,870521.3119093573,892140.0654263038,914570.0548454562,937664.647485647,961378.9621402621,985693.0314310724,
00006963ce9fa7537179,CIV,CIV.5_1,C̫te d'Ivoire,G̫h-Djiboua,,923318.3327742338,946248.261290464,970038.6270762421,994533.9041945545,1019686.4893986743,1045475.2042910055,
00001d89e5cdde269603,CIV,CIV.1_1,C̫te d'Ivoire,Abidjan,,122896.97987090045,125949.03555231036,129115.61851867939,132376.02771027596,135723.92696430426,139156.49736015036,
0000a66c4948401503de,CIV,CIV.3_1,C̫te d'Ivoire,Como̩,,751274.1849470846,769931.3459755611,789288.5470580643,809219.2689973129,829684.7806393378,850667.8747877534,
000026df4ecb8fbc35c3,GHA,GHA.10_1,Ghana,Western,,1236530.213939548,1264463.0780405495,1292460.411612436,1320742.7289180646,1349280.409066167,1378434.7116506363,
0000c35f47912db7c5b6,GHA,GHA.2_1,Ghana,Brong Ahafo,,1196183.7349019016,1223205.157391543,1250288.935529237,1277648.3925480165,1305254.874387068,1333457.8568584598,
0000950f91de922668c8,CIV,CIV.14_1,C̫te d'Ivoire,Zanzan,,746392.0833232956,764928.1699888671,784159.7572850443,803961.1483955636,824293.8646787582,845140.8096255207,
00008053294388014a85,GHA,GHA.9_1,Ghana,Volta,,1276383.0327910257,1305216.3743989416,1334116.20611509,1363310.1843395976,1392767.7416687256,1422861.7999830095,
00007dd09fb93783d97c,GHA,GHA.1_1,Ghana,Ashanti,,1250629.356899209,1278880.628318476,1307197.0696951067,1335801.7234605069,1364664.6321397186,1394151.186890643,
0000cc7e8b9a4f17a1d4,GHA,GHA.4_1,Ghana,Eastern,,1239294.097880947,1267289.3098391588,1295349.1010773375,1323694.4924500145,1352295.798005892,1381515.0971276474,
0000f7f5c50752361d6c,GHA,GHA.3_1,Ghana,Central,,758968.3112515474,776113.1348889162,793297.5081595961,810656.7886230728,828172.7960134516,846067.2749336349,
00009a7340ea9f9a76f8,GHA,GHA.5_1,Ghana,Greater Accra,,285997.6316352215,292458.2161977205,298933.70401941007,305475.10110522254,312075.5566909135,318818.6295104836,
00000c7405ce08e51702,TGO,TGO.3_1,Togo,Maritime,R̩gion Maritime,432530.060388658,443683.775552209,454760.52241248277,465934.0922028716,477225.827420458,488791.2137866534,
0000e3df791696cbba8c,BEN,BEN.8_1,Benin,Littoral,,50.97265313653117,52.377123531399825,53.80924795967035,55.27419884876942,56.770423498803254,58.30714965315547,
0000a8eddbe2b4857417,BEN,BEN.3_1,Benin,Atlantique,,484986.95144344366,498349.9956108969,511976.15822588257,525914.653124618,540150.7069112528,554772.1183335137,
0000888616bbacfa4bbc,BEN,BEN.9_1,Benin,Mono,,172954.17894331476,177719.54430803697,182578.69627465587,187549.2041764977,192625.80458746717,197839.81925588945,
