system:index,GID_0,GID_1,NAME_0,NAME_1,VARNAME_1,noacc14,.geo,noacc19,noacc18,noacc17,noacc16,noacc15
0000faffcfa259c87575,BEN,BEN.1_1,Benin,Alibori,,121599.3917,,76069.82285,76069.82285,76069.82285,76069.82285,76069.82285
0000b6540229192ca1b6,NGA,NGA.28_1,Nigeria,Ogun,,180906.5465,,94176.02427,94176.02427,94176.02427,94176.02427,94176.02427
0000712fa9c4693c1e70,NGA,NGA.31_1,Nigeria,Oyo,,1033277.502,,716361.4501,716361.4501,716361.4501,716361.4501,716361.4501
00008754aea269f091a6,NGA,NGA.24_1,Nigeria,Kwara,,140042.887,,260836.7333,260836.7333,260836.7333,260836.7333,260836.7333
0000cff2cf340fc25c68,NGA,NGA.27_1,Nigeria,Niger,,299353.3601,,415665.4246,415665.4246,415665.4246,415665.4246,415665.4246
000086db067f7e7fba7a,NGA,NGA.22_1,Nigeria,Kebbi,,563966.7831,,584472.3087,584472.3087,584472.3087,584472.3087,584472.3087
0000ade5866d5f103b3e,NGA,NGA.30_1,Nigeria,Osun,,484056.5567,,402054.7906,402054.7906,402054.7906,402054.7906,402054.7906
00009ee63f56e1377cab,NGA,NGA.13_1,Nigeria,Ekiti,,610079.111,,412181.0478,412181.0478,412181.0478,412181.0478,412181.0478
0000e5b6f385e54dee20,NGA,NGA.29_1,Nigeria,Ondo,,1059952.742,,906814.0754,906814.0754,906814.0754,906814.0754,906814.0754
000078a6d5139a28657b,NGA,NGA.25_1,Nigeria,Lagos,,54064.86943,,4259.612102,4259.612102,4259.612102,4259.612102,4259.612102
0000f25430d07d644919,NGA,NGA.12_1,Nigeria,Edo,,213287.0938,,259134.2144,259134.2144,259134.2144,259134.2144,259134.2144
000015f1463bd1f68b4a,NGA,NGA.10_1,Nigeria,Delta,,403366.058,,174283.0935,174283.0935,174283.0935,174283.0935,174283.0935
00009115dd65a31ef699,NGA,NGA.6_1,Nigeria,Bayelsa,,178743.5752,,85332.27922,85332.27922,85332.27922,85332.27922,85332.27922
00009184c4657478a4b9,NGA,NGA.33_1,Nigeria,Rivers,,186462.5988,,68735.85893,68735.85893,68735.85893,68735.85893,68735.85893
0000e770a4f2ecd14d9b,NGA,NGA.17_1,Nigeria,Imo,,1011991.799,,1436596.861,1436596.861,1436596.861,1436596.861,1436596.861
00004dacbba479e051a8,NGA,NGA.1_1,Nigeria,Abia,,472061.2635,,556538.3088,556538.3088,556538.3088,556538.3088,556538.3088
00008ee1c94c90c48916,NGA,NGA.3_1,Nigeria,Akwa Ibom,,638029.5323,,899008.5955,899008.5955,899008.5955,899008.5955,899008.5955
000025950f8a4f09b20e,NGA,NGA.4_1,Nigeria,Anambra,,896427.2266,,424341.634,424341.634,424341.634,424341.634,424341.634
0000e4ad2f108d44f954,NGA,NGA.14_1,Nigeria,Enugu,,514511.7025,,418358.144,418358.144,418358.144,418358.144,418358.144
